sales,youtube,facebook,newspaper
26.52,276.12,45.36,83.04
12.48,53.4,47.16,54.12
11.16,20.64,55.08,83.16
22.2,181.8,49.56,70.2
15.48,216.96,12.96,70.08
8.64,10.44,58.68,90
14.16,69,39.36,28.2
15.84,144.24,23.52,13.92
5.76,10.32,2.52,1.2
12.72,239.76,3.12,25.44
10.32,79.32,6.96,29.04
20.88,257.64,28.8,4.8
11.04,28.56,42.12,79.08
11.64,117,9.12,8.64
22.8,244.92,39.48,55.2
26.88,234.48,57.24,63.48
15,81.36,43.92,136.8
29.28,337.68,47.52,66.96
13.56,83.04,24.6,21.96
17.52,176.76,28.68,22.92
21.6,262.08,33.24,64.08
15,284.88,6.12,28.2
6.72,15.84,19.08,59.52
18.6,273.96,20.28,31.44
11.64,74.76,15.12,21.96
14.4,315.48,4.2,23.4
18,171.48,35.16,15.12
19.08,288.12,20.04,27.48
22.68,298.56,32.52,27.48
12.6,84.72,19.2,48.96
25.68,351.48,33.96,51.84
14.28,135.48,20.88,46.32
11.52,116.64,1.8,36
20.88,318.72,24,0.36
11.4,114.84,1.68,8.88
15.36,348.84,4.92,10.2
30.48,320.28,52.56,6
17.64,89.64,59.28,54.84
12.12,51.72,32.04,42.12
25.8,273.6,45.24,38.4
19.92,243,26.76,37.92
20.52,212.4,40.08,46.44
24.84,352.32,33.24,2.16
15.48,248.28,10.08,31.68
10.2,30.12,30.84,51.96
17.88,210.12,27,37.8
12.72,107.64,11.88,42.84
27.84,287.88,49.8,22.2
17.76,272.64,18.96,59.88
11.64,80.28,14.04,44.16
13.68,239.76,3.72,41.52
12.84,120.48,11.52,4.32
27.12,259.68,50.04,47.52
25.44,219.12,55.44,70.44
24.24,315.24,34.56,19.08
28.44,238.68,59.28,72
6.6,8.76,33.72,49.68
15.84,163.44,23.04,19.92
28.56,252.96,59.52,45.24
22.08,252.84,35.4,11.16
9.72,64.2,2.4,25.68
29.04,313.56,51.24,65.64
18.84,287.16,18.6,32.76
16.8,123.24,35.52,10.08
21.6,157.32,51.36,34.68
11.16,82.8,11.16,1.08
11.4,37.8,29.52,2.64
16.08,167.16,17.4,12.24
22.68,284.88,33,13.2
26.76,260.16,52.68,32.64
21.96,238.92,36.72,46.44
14.88,131.76,17.16,38.04
10.56,32.16,39.6,23.16
13.2,155.28,6.84,37.56
